,0,1,2,accuracy,macro avg,weighted avg
precision,0.0,0.8080495356037152,0.0,0.8080495356037152,0.2693498452012384,0.6529440519893798
recall,0.0,1.0,0.0,0.8080495356037152,0.3333333333333333,0.8080495356037152
f1-score,0.0,0.8938356164383562,0.0,0.8080495356037152,0.2979452054794521,0.7222634547690742
support,30.0,261.0,32.0,0.8080495356037152,323.0,323.0
